test_idx,best_mean,best_min,best_max,n_changed,n_pool_rows,candidate_id
80,0.7904359780914952,0.22042174611652862,1.1641811692085604,2,118,0.0
104,2.1672722939053823,1.6882713595846752,2.5133880444678685,2,92,0.0
147,7.1208508979434555,6.5287436802792485,7.603854363572556,2,7,0.0
166,0.7070771183751192,0.0,1.0,1,137,0.0
172,1.6265312218119918,1.1707768772029552,1.9054736887106358,2,116,0.0
192,0.6994642944215655,0.5606801630590922,0.9955643251265764,2,81,0.0
195,2.3091787439613527,1.6875,2.6875000000000004,1,207,0.0
251,5.735769855571417,5.435614565731828,5.8352058911030085,2,20,0.0
267,0.6835863717630497,0.22451329431071884,0.87483453981362,2,117,0.0
275,0.8742630888243037,0.5362595991931244,1.22646455059961,2,119,0.0
282,1.442810327698055,1.0018108020321432,1.842202234799653,2,17,0.0
283,2.2054091520363444,1.7261489853653373,2.551135926004507,2,92,0.0
284,0.19160549595332202,0.05533596837944667,0.7826086956521738,1,189,0.0
302,5.110203514304447,4.478928149949033,5.293295918097886,2,14,0.0
567,7.671415706043283,7.187412449338087,7.858150620924305,2,25,0.0
755,2.0194332029568116,1.656527006410699,2.261455080796553,2,57,0.0
762,1.6430348258706469,1.0833333333333333,2.0833333333333335,1,134,0.0
773,0.4300735534488394,0.1748120300751879,1.1748120300751876,1,1150,0.0
790,3.0074374537010997,2.6616711599196607,3.4237179407723204,2,23,0.0
792,1.245406046235921,0.714285714285714,1.714285714285714,1,241,0.0
795,2.24012539184953,1.413793103448276,2.4137931034482762,1,55,0.0
805,2.1936136710965095,1.6626182111993089,2.3646473578322467,2,16,0.0
854,6.617397742772361,6.132902465421682,6.803677506541915,2,25,0.0
861,0.13663178926336822,0.002197802197802188,0.6439560439560439,1,209,0.0
863,1.1815225424981526,0.4545454545454545,1.4545454545454548,1,205,0.0
871,1.34698990050677,1.0360253404028654,1.5694871617425585,2,25,0.0
873,0.7263681592039801,0.16666666666666674,1.1666666666666667,1,134,0.0
909,0.5634920634920634,0.1666666666666666,0.8333333333333333,1,21,0.0
927,1.5374240798842946,1.102575168769923,1.6878386927782902,2,156,0.0
929,2.6558746549673065,2.1173913922157097,2.8277396667709698,2,27,0.0
934,1.1815225424981526,0.4545454545454545,1.4545454545454548,1,205,0.0
972,0.6008279376173804,0.23135383984483332,0.9553956994053965,2,208,0.0
1043,0.6626001914257671,0.15861880782288237,1.0153557827668316,2,208,0.0
1103,0.529085977776692,0.32101341511133014,0.632449217893884,2,615,0.0
1467,2.0495155036904955,1.5695439044781778,2.4233081417081817,2,114,0.0
1671,1.33001684211551,0.9991956481509126,1.8900399584797094,2,51,0.0
1744,2.1554232804232805,1.5476190476190474,2.547619047619048,1,135,0.0
1940,1.3733218588640272,0.6785714285714285,1.6785714285714286,1,415,0.0
1950,3.205642633228841,2.3793103448275863,3.3793103448275863,1,55,0.0
92,2.614164895219754,2.3035728576782875,3.103215658671535,2,20,0.0
101,10.718688142899307,10.332879190746993,11.157651545504512,2,14,0.0
132,0.7348673864615224,0.32141217600155775,1.0599295321679858,2,90,0.0
147,2.568399186584918,1.8784121636280264,2.760088177744382,2,169,0.0
148,7.4177001638371,6.905327240891447,7.628597465901917,2,9,0.0
153,1.479574424586559,1.0397864538198218,1.7752145558409833,2,116,0.0
193,7.350904966485609,6.953812355991176,7.597822265499679,2,11,0.0
199,3.3623929083287107,2.8779900237502276,3.5481562791927277,2,25,0.0
203,0.9753580906228879,0.5046728971962616,1.5046728971962613,1,567,0.0
205,3.6161126209156236,3.0157398338639174,3.8400994101480483,2,105,0.0
